|   time   | reset | clock0  |startClock |anyByteCloc|stateRegister| byte |byte0State |byte1State | byteDone  |byteDoneSig| beginAck  |anyAckState|  ackDone  |ackDoneSign|  sdaByte  |  sclByte  | sdaAck  | sclAck  |
| 2331     |   0   |    0    |     0     |     0     |   0001000   |  00  |     0     |     0     |     1     |     0     |     0     |     1     |     0     |     0     |     0     |     0     |    0    |    0    |
| 2393     |   0   |    1    |     0     |     0     |   0001000   |  00  |     0     |     0     |     1     |     0     |     0     |     1     |     0     |     0     |     0     |     0     |    0    |    1    |
| 2394     |   0   |    1    |     0     |     0     |   0001000   |  00  |     0     |     0     |     1     |     0     |     0     |     1     |     0     |     0     |     0     |     0     |    0    |    1    |
| 2456     |   0   |    0    |     0     |     0     |   0001000   |  00  |     0     |     0     |     1     |     0     |     0     |     1     |     0     |     0     |     0     |     0     |    0    |    1    |
| 2457     |   0   |    0    |     0     |     0     |   0001000   |  00  |     0     |     0     |     1     |     0     |     0     |     1     |     0     |     0     |     0     |     0     |    0    |    1    |
| 2519     |   0   |    1    |     0     |     0     |   0001000   |  00  |     0     |     0     |     1     |     0     |     0     |     1     |     0     |     0     |     0     |     0     |    0    |    0    |
| 2520     |   0   |    1    |     0     |     0     |   0001000   |  00  |     0     |     0     |     1     |     0     |     0     |     1     |     0     |     0     |     0     |     0     |    0    |    0    |
| 2582     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     0     |    0    |    0    |
| 2583     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     0     |    0    |    0    |
| 2584     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     1     |    0    |    0    |
| 2645     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     1     |    0    |    0    |
| 2646     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     1     |    0    |    0    |
| 2708     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     1     |    0    |    0    |
| 2709     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     1     |    0    |    0    |
| 2771     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     0     |    0    |    0    |
| 2772     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     0     |    0    |    0    |
| 2834     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     0     |    0    |    0    |
| 2835     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     0     |    0    |    0    |
| 2897     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     1     |    0    |    0    |
| 2898     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     1     |    0    |    0    |
| 2960     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     1     |    0    |    0    |
| 2961     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     1     |    0    |    0    |
| 3023     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     0     |    0    |    0    |
| 3024     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     0     |     0     |    0    |    0    |
| 3086     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     0     |    0    |    0    |
| 3087     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     0     |    0    |    0    |
| 3149     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     1     |    0    |    0    |
| 3150     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     1     |    0    |    0    |
| 3212     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     1     |    0    |    0    |
| 3213     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     1     |    0    |    0    |
| 3275     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     0     |    0    |    0    |
| 3276     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     0     |    0    |    0    |
| 3338     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     0     |    0    |    0    |
| 3339     |   0   |    0    |     0     |     0     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     0     |    0    |    0    |
| 3401     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     1     |    0    |    0    |
| 3402     |   0   |    1    |     0     |     1     |   0010000   |  3c  |     0     |     1     |     0     |     0     |     0     |     0     |     1     |     0     |     1     |     1     |    0    |    0    |
